,Código Especialidad Realizadora Acto
4,507252
17,236840
31,211354
51,204306
68,156399
99,145763
37,121549
40,115995
70,105696
16,90401
32,87264
1,83416
2,75354
35,72158
91,52878
9,52415
5,52112
41,39667
8,35267
3,34033
53,33307
24,29190
6,26669
18,25742
64,23275
11,22822
50,22531
27,19523
30,17740
54,14913
69,13501
36,11728
7,11467
38,8661
12,8623
21,7453
33,7154
28,5777
39,3590
14,3522
93,3495
112,3368
29,3109
82,3019
80,2823
52,2767
56,2184
61,1901
81,1811
25,1792
26,1778
13,1490
19,1463
89,1267
92,1119
34,1102
55,871
63,584
10,544
15,445
85,231
66,186
20,126
98,95
95,86
62,75
83,28
60,16
